model,title,doi,citation,task,performance,note,Year,Backbone,Pretrain modality,Pretrain Method,Pretrain Dataset,ECGs (n),Codelink,Weightlink,eval_data,ECGlead,sampling_rate,eval_LP,eval_FT,eval_zeroshot,eval_data_efficiency,eval_reduced_lead,eval_ablation,eval_fairness,eval_privacy,eval_compute,eval_explainability,ecgs_numeric
ECG-JEPA,Learning general representation of 12-lead electrocardiogram with a joint-embedding predictive architecture,https://doi.org/10.48550/arXiv.2410.08559 ,"{RN1,
   author = {Kim, Sehun},
   title = {Learning general representation of 12-lead electrocardiogram with a joint-embedding predictive architecture},
   journal = {arXiv preprint arXiv:2410.08559},
   DOI = {https://doi.org/10.48550/arXiv.2410.08559},
   year = {2024},
   type = {Journal Article}
}
","• Multiclass/ multilabel  classification (5 Dx. class, PTB-XL; 9 ecg Dx., CPSC 2018)
• ECG feature extraction","• ECG diagnosis - 5 and 9 Dx. (~0.90.)
• HR (MAE, 1.45 BPM), QRS duration, (MAE 4.4 ms)","• Top 3 in benchmark**; best pediatric generalization-58 Dx. (0.91)
• Reduced lead adaptable",2024,Transformer,ecg,M/R/G,"CSN, Code-15",180K,https://github.com/sehunfromdaegu/ecg_jepa,https://github.com/sehunfromdaegu/ecg_jepa,"PTB-XL, CPSC2018",8,250,1,1,na,1,1,1,0,0,"Training time, hardware",0,180000
HuBERT-ECG,HuBERT-ECG as a self-supervised foundation model for broad and scalable cardiac applications,https://doi.org/10.1101/2024.11.14.24317328,"{RN2,
   author = {Coppola, Edoardo and Savardi, Mattia and Massussi, Mauro and Adamo, Marianna and Metra, Marco and Signoroni, Alberto},
   title = {HuBERT-ECG as a self-supervised foundation model for broad and scalable cardiac applications},
   journal = {medRxiv},
   pages = {2024.11. 14.24317328},
   DOI = {https://doi.org/10.1101/2024.11.14.24317328},
   year = {2024},
   type = {Journal Article}
}
","• Multilabel classification (164 harmonized Dx.)
• Prognostic prediction (mortality)","• ECG diagnosis – 164 Dx. (0.85, overlap pretraining)
• 2 yr mortality – Chagas cohort (0.87 - c.f. SL 0.88)","• Efficient inference via aggressive down-sampling (93M params)
• Lower benchmark performance**",2024,CNN+Transformer,ecg,M/R/G,"CODE, CPSC, CPSC-Extra, PTB, PTB-XL, Georgia, CSN, Tianchi, MIMIC-IV, SPH",9.1M,https://github.com/Edoar-do/HuBERT-ECG,https://huggingface.co/Edoardo-BS,"CODE, CPSC, CPSC-Extra, PTB, PTB-XL, Georgia, CSN, Tianchi, SPH, SaMi-Trop",12,100,0,1,na,1,0,1,0,0,"Hardware, training time proxy: No. of steps per dataset",saliency map,9100000
DeepECG,Foundation models for generalizable electrocardiogram interpretation: comparison of supervised and self-supervised electrocardiogram foundation models,https://doi.org/10.1101/2025.03.02.25322575 ,"{RN3,
   author = {Nolin-Lapalme, Alexis and Sowa, Achille and Delfrate, Jacques and Tastet, Olivier and Corbin, Denis and Kulbay, Merve and Ozdemir, Derman and No√´l, Marie-Jeanne and Marois-Blanchet, Fran√ßois-Christophe and Harvey, Fran√ßois},
   title = {Foundation models for generalizable electrocardiogram interpretation: comparison of supervised and self-supervised electrocardiogram foundation models},
   journal = {medRxiv},
   DOI = {https://doi.org/10.1101/2025.03.02.25322575 },
   year = {2025},
   type = {Journal Article}
}
","• Multilabel classification (77 Dx.)
• Clinical assessment (LVEF category, pericarditis, LQTS subtype)
• Prognostic prediction (5-Year incident Afib (iAF5)) 	","• ECG diagnosis - 77 Dx. (0.98)
• LVEF≤40% (0.92) 
• 5yr incident Afib risk (0.74) ","• CPU inference constrained by memory (91M params)
• Extensive external validation; fairness, privacy evaluation",2025,CNN+Transformer,ecg,"CL
(RLM augmentation)","MIMIC-IV-ECG, Code-15, MHI-ds*",1.9M,https://github.com/HeartWise-AI/DeepECG_Docker,https://huggingface.co/heartwise/SSL_Pretrained_model/tree/main,"MIMIC-IV-test, PTB, CLSA, UKB, UCSF*, MGH*, CSH*, JGH*, UW*, NYP*, CHUM*",12,,0,1,na,1,0,0,1,1,"Hardware, CO2 emission, training time",lime,1900000
ECG-FM,Ecg-fm: An open electrocardiogram foundation model,https://doi.org/10.1093/jamiaopen/ooaf122,"{RN4,
   author = {McKeen, Kaden and Oliva, Laura and Masood, Sameer and Toma, Augustin and Rubin, Barry and Wang, Bo},
   title = {Ecg-fm: An open electrocardiogram foundation model},
   journal = {JAMIA open},
   volume = {8},
   number = {5},
   pages = {ooaf122},
   ISSN = {2574-2531},
   DOI = {https://doi.org/10.1093/jamiaopen/ooaf122},
   year = {2025},
   type = {Journal Article}
}
","• Multilabel classification (17~21 Dx.)
• Clinical assessment (acute coronary syndrome, LVEF category)","• ECG diagnosis - 21 Dx. (>0.90)
• LVEF≤40% (0.93), Afib (1.00)","• CPU inference constrained by memory (91M params)
• Strong in acute care prediction in benchmark**",2024,CNN+Transformer,ecg,"CL
(RLM augmentation)","CPSC, CPSC-Extra, PTB-XL, Georgia, CSN, MIMIC-IV-ECG",870K,https://github.com/bowang-lab/ECG-FM/,https://huggingface.co/wanglab/ecg-fm,"UHN-ECG*,UHN-ECG*, MIMIC-IV, MEDIC*(Meng et al.)",12,500,1,1,na,1,0,0,0,0,"Hardware,¬†¬†training time",saliency map,870000
HeartLang,Reading your heart: Learning ecg words and sentences via pre-training ecg language model,"
https://doi.org/10.48550/arXiv.2502.10707","{RN5,
   author = {Jin, Jiarui and Wang, Haoyu and Li, Hongyan and Li, Jun and Pan, Jiahui and Hong, Shenda},
   title = {Reading your heart: Learning ecg words and sentences via pre-training ecg language model},
   journal = {arXiv preprint arXiv:2502.10707},
   DOI = {https://doi.org/10.48550/arXiv.2502.10707},
   year = {2025},
   type = {Journal Article}
}
",• Multiclass classification (5~38 Dx.),"• ECG diagnosis -  rhythm Dx (0.90, LP)","• Not benchmarked** 
• Reduced lead adaptable",2025,Transformer,ecg,M/R/G,MIMIC-IV-ECG,800K,https://github.com/PKUDigitalHealth/HeartLang,https://huggingface.co/PKUDigitalHealth/HeartLang/,"PTB-XL, CPSC2018, CSN",12,100,1,1,na,1,1,1,0,0,Hardware,Textual; ECG vocab visualization,800000
CPC,Benchmarking ECG Foundational Models: A Reality Check Across Clinical Tasks,"
https://doi.org/10.48550/arXiv.2509.25095","{RN10,
   author = {Al-Masud, MA and Alcaraz, Juan Miguel Lopez and Strodthoff, Nils},
   title = {Benchmarking ECG Foundational Models: A Reality Check Across Clinical Tasks},
   journal = {arXiv preprint arXiv:2509.25095},
   DOI = {https://doi.org/10.48550/arXiv.2509.25095},
   year = {2025},
   type = {Journal Article}
}
","• Multilabel classification (adult, pediatric)
• Prognostic prediction (acute care, cardiac/noncardiac outcome)
• Clinical assessment (age, gender, biometric, ecg features, lab values, vital signs, echo structure/function)","• ECG diagnosis – 77 Dx. (0.95)
• Pediatric ECG diagnosis -58 Dx. (0.89)
• Echo diagnosis – 11 Dx. (0.83)
• ICU deterioration (0.76), mortality (0.81) ","• Lightweight, fast inference
• Top 3 in benchmark**; matches/exceeds supervised baseline ",2025,CNN+SSM,ecg,CL(autoregressive),HEED,10.7M,https://github.com/AI4HealthUOL/ecg-fm-benchmarking,https://figshare.com/articles/dataset/ECG-CPC_Checkpoint_zip/30192604?file=58173919,"PTB, PTB-XL, Ningbo, CPSC2018, CPSC-Extra, Veorgia, Chapman, SPH, CODE-15%, ZZU, EchoNext, MIMIC",12,240,1,1,na,1,0,0,0,0,"Hardware,¬†¬†training time",0,10700000
ESI,Ecg semantic integrator (esi): A foundation ecg model pretrained with llm-enhanced cardiological text,"
https://doi.org/10.48550/arXiv.2405.19366","{RN6,
   author = {Yu, Han and Guo, Peikun and Sano, Akane},
   title = {Ecg semantic integrator (esi): A foundation ecg model pretrained with llm-enhanced cardiological text},
   journal = {arXiv preprint arXiv:2405.19366},
   DOI = {https://doi.org/10.48550/arXiv.2405.19366},
   year = {2024},
   type = {Journal Article}
}
","• Multiclass classification (Rhythm focused)
• Zero-shot capability
• Biometric task (individual identification)","• ECG diagnosis - arrhythmia Dx. (0.94; zero-shot: 0.81)
• Individual identification (0.81)",,2024,CNN (Text: Transformer),ecg+text,CL+M/R/G,"PTB-XL, CSN, MIMIC-IV-ECG",660K,https://github.com/comp-well-org/ESI,https://drive.google.com/drive/folders/1I3ECWBEm-Yxhzl1xgx5JE-tEhDRDtN0o,"PTB-XL, CPSC2018",12,500,1,1,1,1,0,1,0,0,Hardware,0,660000
MERL,Zero-shot ecg classification with multimodal learning and test-time clinical knowledge enhancement,https://doi.org/10.48550/arXiv.2403.06659,"{RN7,
   author = {Liu, Che and Wan, Zhongwei and Ouyang, Cheng and Shah, Anand and Bai, Wenjia and Arcucci, Rossella},
   title = {Zero-shot ecg classification with multimodal learning and test-time clinical knowledge enhancement},
   journal = {arXiv preprint arXiv:2403.06659},
   DOI = {https://doi.org/10.48550/arXiv.2403.06659},
   year = {2024},
   type = {Journal Article}
}
","• Multilabel classification 
• Zero-shot capability",• ECG diagnosis – 9 Dx. (0.91; zero-shot: 0.88),"• Light weight, fast inference
• Lower benchmark performance**",2024,CNN (Text: Transformer),ecg+text,CL,MIMIC-IV-ECG,771K,https://github.com/cheliu-computation/MERL-ICML2024,https://drive.google.com/drive/folders/13wb4DppUciMn-Y_qC2JRWTbZdz3xX0w2,"PTB-XL, CPSC2018, CSN",12,500,1,0,1,1,0,1,0,0,Hardware,0,771000
MELP,From Token to Rhythm: A Multi-Scale Approach for ECG-Language Pretraining,https://doi.org/10.48550/arXiv.2506.21803,"{RN8,
   author = {Wang, Fuying and Xu, Jiacheng and Yu, Lequan},
   title = {From Token to Rhythm: A Multi-Scale Approach for ECG-Language Pretraining},
   journal = {arXiv preprint arXiv:2506.21803},
   DOI = {https://doi.org/10.48550/arXiv.2506.21803},
   year = {2025},
   type = {Journal Article}
}
","• Multilabel classification 
• Zero-shot capability
• Report generation",• ECG diagnosis – 12 Rhythm Dx. (0.97; zero-shot: 0.85),"• Light weight, fast inference",2025,CNN+Transformer (Text: Transformer),ecg+text,CL+M/R/G,MIMIC-IV-ECG,760K,https://github.com/HKU-MedAI/MELP,https://huggingface.co/fuyingw/MELP_Encoder,"PTB-XL, CPSC2018, CSN",12,500,1,1,1,1,0,1,0,0,Hardware,0,760000
KED,Foundation model of ECG diagnosis: Diagnostics and explanations of any form and rhythm on ECG,https://doi.org/10.1016/j.xcrm.2024.101875,"{RN9,
   author = {Tian, Yuanyuan and Li, Zhiyuan and Jin, Yanrui and Wang, Mengxiao and Wei, Xiaoyang and Zhao, Liqun and Liu, Yunqing and Liu, Jinlei and Liu, Chengliang},
   title = {Foundation model of ECG diagnosis: Diagnostics and explanations of any form and rhythm on ECG},
   journal = {Cell Reports Medicine},
   volume = {5},
   number = {12},
   ISSN = {2666-3791},
   DOI = {https://doi.org/10.1016/j.xcrm.2024.101875},
   year = {2024},
   type = {Journal Article}
}
","• Multilabel classification
• Zero-shot capability","• ECG diagnosis – 20 Dx. (zero-shot: average >0.90)
• Zero-shot on 7 ECG Dx. comparable to cardiologists ","• Light weight, fast inference 
• Lower benchmark performance**",2024,CNN (Text: Transformer),ecg+text,CL,MIMIC-IV-ECG,800K,https://github.com/control-spiderman/ECGFM-KED/,https://zenodo.org/records/14881564,"CPSC2018, CSN, Georgia, PTB-XL, SFPH*",12,100,0,1,1,1,0,1,0,0,Hardware,0,800000
